gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,20,No,No,DSL,Month-to-month,Yes,Bank transfer (automatic),28.63,572.6,No
Female,0,Yes,No,21,No,No,No,Month-to-month,Yes,Electronic check,91.99,1931.79,No
Female,0,Yes,No,17,Yes,Yes,DSL,Month-to-month,No,Electronic check,42.18,717.06,No
Male,1,Yes,No,65,Yes,No phone service,No,Month-to-month,Yes,Bank transfer (automatic),32.05,2162.26,No
Female,0,Yes,No,47,Yes,No,Fiber optic,One year,Yes,Mailed check,68.94,3240.18,No
Male,0,No,No,43,No,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.88,4294.84,No
Female,1,No,No,8,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),46.44,403.94,No
Male,0,Yes,No,66,Yes,No,No,Month-to-month,No,Credit card (automatic),46.2,3049.2,Yes
Female,0,Yes,No,53,Yes,Yes,Fiber optic,Two year,No,Mailed check,103.06,5465.12,No
Female,0,Yes,No,25,Yes,No,DSL,Two year,No,Credit card (automatic),33.08,897.44,No
Male,0,No,No,25,Yes,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),80.91,2022.75,Yes
Male,0,Yes,No,33,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,115.41,3865.67,No
Male,1,Yes,No,7,Yes,No,Fiber optic,One year,Yes,Mailed check,103.81,726.67,No
Male,0,No,No,9,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,24.31,222.2,Yes
Male,0,No,No,47,Yes,No,DSL,Month-to-month,Yes,Electronic check,50.63,2394.77,No
Male,0,No,No,54,Yes,No,Fiber optic,Month-to-month,No,Electronic check,32.52,1756.08,No
Male,0,No,No,53,Yes,Yes,Fiber optic,One year,No,Bank transfer (automatic),114.82,6085.46,No
Male,0,Yes,Yes,39,No,No,DSL,Month-to-month,No,Mailed check,118.57,4646.89,Yes
Female,0,No,No,14,Yes,Yes,Fiber optic,Two year,Yes,Credit card (automatic),41.97,643.65,Yes
Female,0,No,No,17,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.31,1498.61,Yes
Male,0,Yes,No,22,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),103.85,2314.6,Yes
Female,0,Yes,Yes,61,Yes,No,DSL,Month-to-month,Yes,Mailed check,41.84,2552.24,Yes
Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,37.14,1705.72,No
Female,0,No,No,38,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),19.14,745.23,No
Female,0,Yes,No,14,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),60.02,883.42,No
Male,0,No,Yes,52,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,109.74,5711.41,Yes
Female,1,No,No,63,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),110.1,6966.14,No
Male,0,No,No,62,Yes,Yes,DSL,Month-to-month,Yes,Credit card (automatic),31.03,1923.86,No
Female,0,Yes,Yes,15,No,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),38.84,617.37,No
Female,0,No,No,69,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.62,4113.78,No
Female,0,Yes,No,65,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,97.62,6345.3,No
Male,0,Yes,No,12,Yes,No,No,Month-to-month,Yes,Mailed check,80.41,964.92,Yes
Female,0,Yes,No,46,Yes,No phone service,Fiber optic,Two year,Yes,Credit card (automatic),70.41,3414.15,No
Male,0,No,No,8,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),78.38,659.65,Yes
Female,0,No,No,62,Yes,No,DSL,Month-to-month,Yes,Mailed check,27.81,1724.22,No
Male,0,No,No,33,Yes,Yes,DSL,Two year,Yes,Bank transfer (automatic),66.72,2201.76,No
Female,0,Yes,Yes,28,Yes,No,No,Two year,Yes,Electronic check,119.19,3337.32,No
Male,1,No,Yes,36,No,No,Fiber optic,Two year,No,Credit card (automatic),27.02,972.72,No
Male,0,No,No,42,Yes,Yes,DSL,One year,No,Bank transfer (automatic),70.96,2980.32,No
Female,0,No,No,63,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,48.16,3034.08,No
Male,0,No,Yes,23,Yes,Yes,DSL,Month-to-month,No,Electronic check,73.07,1680.61,No
Female,0,No,No,70,No,Yes,No,One year,No,Bank transfer (automatic),76.53,5398.83,No
Female,0,Yes,Yes,33,No,Yes,Fiber optic,Two year,No,Bank transfer (automatic),76.9,2537.7,No
Female,0,Yes,No,47,Yes,No,No,One year,Yes,Mailed check,104.93,4967.36,No
Female,1,Yes,No,11,Yes,No phone service,No,Two year,No,Bank transfer (automatic),57.75,635.25,No
Female,0,Yes,No,22,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,70.67,1554.74,Yes
Female,0,No,No,12,Yes,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),19.11,229.32,Yes
Female,0,Yes,Yes,44,Yes,No,Fiber optic,Two year,Yes,Credit card (automatic),98.53,4357.46,No
Female,0,No,No,64,Yes,No phone service,Fiber optic,One year,No,Credit card (automatic),44.47,2846.08,No
Female,0,Yes,Yes,46,Yes,No,No,Two year,No,Mailed check,101.29,4747.99,Yes
Female,0,Yes,No,57,No,No,Fiber optic,Two year,Yes,Credit card (automatic),45.1,2570.7,No
Female,0,Yes,Yes,4,No,No,DSL,Month-to-month,No,Credit card (automatic),19.1,76.4,No
Male,1,No,No,4,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),33.79,150.0,Yes
Male,0,No,No,59,Yes,Yes,DSL,Two year,Yes,Electronic check,118.54,6993.86,No
Female,0,Yes,No,20,Yes,Yes,DSL,One year,Yes,Electronic check,50.62,1037.53,Yes
Female,0,No,No,23,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),29.1,669.3,No
Female,0,Yes,No,17,Yes,No,No,Month-to-month,Yes,Credit card (automatic),30.11,511.87,No
Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),49.65,993.0,Yes
Female,0,Yes,Yes,53,Yes,No,DSL,Month-to-month,No,Credit card (automatic),21.84,1157.52,No
Female,0,No,No,9,Yes,Yes,Fiber optic,One year,No,Credit card (automatic),70.17,631.53,No
Female,0,Yes,Yes,23,Yes,No phone service,Fiber optic,Month-to-month,No,Credit card (automatic),39.8,975.28,No
Female,0,Yes,Yes,59,Yes,No,DSL,Month-to-month,Yes,Electronic check,70.97,4250.71,No
Male,0,Yes,No,56,Yes,Yes,DSL,Two year,Yes,Mailed check,32.36,1859.04,No
Female,1,No,No,22,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,61.85,1360.7,Yes
Male,0,Yes,No,21,Yes,No,No,Two year,No,Credit card (automatic),78.99,1658.79,No
Female,0,No,No,67,Yes,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),24.32,1654.39,No
Female,0,Yes,No,33,Yes,Yes,DSL,Two year,Yes,Bank transfer (automatic),58.67,1936.11,No
Male,0,No,Yes,69,Yes,Yes,No,Month-to-month,No,Credit card (automatic),48.86,3428.17,Yes
Female,0,Yes,No,27,Yes,No phone service,Fiber optic,Month-to-month,Yes,Mailed check,42.52,1148.04,No
Male,1,Yes,No,38,Yes,No,No,Two year,Yes,Electronic check,79.66,3027.08,No
Female,0,No,No,41,Yes,No,DSL,One year,Yes,Electronic check,78.03,3199.23,Yes
Female,0,No,Yes,22,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),82.33,1873.61,No
Male,0,Yes,No,69,Yes,No phone service,Fiber optic,Two year,Yes,Credit card (automatic),34.21,2414.16,No
Female,0,No,Yes,1,Yes,No phone service,Fiber optic,Month-to-month,Yes,Mailed check,47.14,75.36,Yes
Male,0,Yes,Yes,23,Yes,No phone service,Fiber optic,Two year,No,Electronic check,39.39,1001.75,No
Female,0,Yes,Yes,16,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,73.13,1170.58,Yes
Male,1,Yes,No,64,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,65.03,4193.48,No
Male,0,No,No,69,Yes,No,Fiber optic,Month-to-month,No,Mailed check,51.69,3566.61,No
Female,0,Yes,No,68,Yes,No,Fiber optic,Month-to-month,No,Mailed check,98.17,6675.56,No
Female,0,No,No,59,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,27.59,1633.31,No
Male,0,Yes,No,49,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),117.44,5754.56,No
Female,0,No,Yes,11,Yes,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),29.89,341.57,No
Female,0,No,Yes,46,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),96.85,4455.1,Yes
Female,0,Yes,No,66,Yes,Yes,DSL,Month-to-month,No,Electronic check,55.56,3691.97,No
Male,0,No,No,64,Yes,No,Fiber optic,Two year,Yes,Mailed check,106.26,6800.64,No
Male,0,Yes,No,26,Yes,No,DSL,One year,Yes,Credit card (automatic),25.57,664.82,No
Male,0,Yes,Yes,47,Yes,No,Fiber optic,Two year,Yes,Credit card (automatic),56.22,2679.51,No
Male,1,Yes,Yes,61,No,No,No,Two year,Yes,Electronic check,52.22,3258.61,No
Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,One year,Yes,Electronic check,119.3,5174.49,No
Male,0,Yes,No,18,Yes,No,DSL,Two year,Yes,Credit card (automatic),118.53,2133.54,No
Male,0,No,No,58,Yes,No,No,Month-to-month,Yes,Mailed check,37.36,2200.29,No
Male,1,Yes,No,7,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),82.25,575.75,Yes
Male,1,No,No,54,Yes,Yes,DSL,Month-to-month,No,Electronic check,72.62,3977.95,Yes
Female,0,No,No,46,Yes,No phone service,Fiber optic,Month-to-month,Yes,Electronic check,33.75,1563.56,Yes
Male,1,Yes,No,1,Yes,Yes,Fiber optic,Two year,No,Electronic check,35.11,35.11,Yes
Female,0,No,Yes,38,Yes,Yes,DSL,One year,Yes,Credit card (automatic),118.9,4518.2,No
Female,0,Yes,No,44,Yes,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),64.18,2823.92,No
Female,0,No,No,31,Yes,No,Fiber optic,One year,Yes,Mailed check,30.83,955.73,No
Male,0,No,Yes,64,Yes,No,DSL,Month-to-month,Yes,Mailed check,39.91,2554.24,No
Male,0,No,No,37,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),45.37,1692.4,No
Male,0,Yes,No,10,Yes,No,Fiber optic,One year,Yes,Electronic check,70.11,746.5,No
Male,0,No,No,9,Yes,No,Fiber optic,Two year,Yes,Credit card (automatic),52.23,470.07,No
Female,0,Yes,No,58,No,No,DSL,Two year,Yes,Credit card (automatic),64.41,3796.41,No
Male,0,No,No,54,Yes,Yes,DSL,One year,Yes,Mailed check,34.98,1888.92,No
Male,0,No,No,19,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),51.33,975.27,No
Male,0,No,Yes,16,Yes,No,No,Month-to-month,Yes,Mailed check,25.17,505.13,No
Male,0,No,Yes,67,Yes,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),108.75,7286.25,No
Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,One year,Yes,Credit card (automatic),38.27,215.64,Yes
Female,1,Yes,Yes,59,Yes,No phone service,DSL,Month-to-month,Yes,Electronic check,95.2,5616.8,No
Male,0,No,No,22,Yes,Yes,DSL,Month-to-month,No,Electronic check,53.65,1180.3,Yes
Female,0,No,No,45,Yes,No,DSL,Two year,No,Credit card (automatic),66.39,3034.31,No
Male,0,Yes,Yes,51,Yes,No phone service,Fiber optic,Two year,Yes,Mailed check,47.71,2472.97,No
Female,0,Yes,No,9,Yes,Yes,Fiber optic,One year,No,Electronic check,89.04,868.05,Yes
Male,0,Yes,Yes,45,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),104.14,4686.3,No
Male,0,Yes,No,27,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),47.2,1281.55,No
Female,1,No,Yes,42,Yes,No,No,Month-to-month,Yes,Credit card (automatic),42.71,1793.82,No
Female,0,No,No,25,Yes,No,DSL,One year,No,Bank transfer (automatic),87.51,2187.75,No
Female,1,Yes,Yes,54,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),37.91,2055.67,No
Male,1,Yes,No,47,No,No,No,Two year,No,Electronic check,83.26,3913.22,No
Female,0,Yes,No,28,Yes,No,Fiber optic,Two year,Yes,Electronic check,27.63,773.64,No
Male,1,Yes,No,26,Yes,Yes,No,Month-to-month,No,Mailed check,81.25,2167.97,Yes
Male,0,Yes,Yes,17,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,70.37,1203.7,Yes
Female,0,Yes,Yes,59,Yes,No,Fiber optic,One year,Yes,Mailed check,29.62,1747.58,No
Female,0,No,Yes,68,Yes,No,Fiber optic,Two year,Yes,Electronic check,84.21,5742.9,No
Male,1,No,No,20,Yes,No,DSL,Two year,No,Credit card (automatic),63.55,1271.0,No
Male,1,No,Yes,23,Yes,No phone service,Fiber optic,Month-to-month,Yes,Mailed check,40.15,933.52,Yes
Female,0,Yes,No,2,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),54.05,177.46,Yes
Female,0,Yes,No,61,Yes,No,DSL,One year,No,Mailed check,68.19,4179.53,No
Female,0,Yes,No,1,Yes,No,DSL,One year,Yes,Bank transfer (automatic),27.34,27.34,Yes
Male,0,No,No,65,Yes,No,DSL,Month-to-month,No,Mailed check,115.68,7519.2,No
Male,0,Yes,Yes,41,Yes,No,DSL,Month-to-month,No,Mailed check,85.89,3521.49,Yes
Male,0,Yes,Yes,33,Yes,No,Fiber optic,Two year,Yes,Mailed check,28.46,979.78,No
Male,0,No,No,41,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,101.93,4179.13,Yes
Male,0,Yes,No,19,Yes,No phone service,DSL,Two year,Yes,Mailed check,50.9,995.09,No
Male,1,No,Yes,67,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),78.87,5284.29,No
Female,0,No,Yes,44,Yes,Yes,Fiber optic,Two year,Yes,Mailed check,46.27,2035.88,No
Male,0,Yes,No,41,No,No,Fiber optic,One year,Yes,Credit card (automatic),92.81,3835.16,No
Male,0,No,Yes,46,Yes,No,Fiber optic,Month-to-month,No,Mailed check,91.75,4220.5,Yes
Male,1,Yes,No,4,Yes,Yes,No,One year,Yes,Mailed check,74.31,297.24,No
Female,1,No,No,48,Yes,No,DSL,Two year,No,Credit card (automatic),42.57,2043.36,No
Male,0,Yes,Yes,36,Yes,Yes,Fiber optic,Two year,Yes,Electronic check,43.88,1579.68,No
Male,0,No,Yes,33,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,57.05,1927.44,Yes
Female,0,Yes,Yes,72,Yes,Yes,DSL,One year,No,Bank transfer (automatic),32.79,2413.27,No
Male,0,No,No,69,Yes,No,Fiber optic,One year,No,Mailed check,52.44,3672.93,No
Male,0,No,No,17,Yes,No phone service,No,Month-to-month,Yes,Mailed check,87.8,1547.35,Yes
Male,0,No,No,18,Yes,No,No,Two year,Yes,Electronic check,102.75,1849.5,Yes
Male,0,Yes,No,39,Yes,No phone service,DSL,Month-to-month,Yes,Mailed check,51.92,2058.15,Yes
Male,0,Yes,No,16,No,Yes,DSL,Month-to-month,No,Bank transfer (automatic),41.83,721.92,No
Female,0,No,Yes,59,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.93,6072.87,Yes
Female,0,Yes,Yes,41,Yes,No,Fiber optic,Month-to-month,No,Mailed check,108.85,4472.54,Yes
Female,0,No,No,71,Yes,Yes,DSL,Two year,Yes,Credit card (automatic),59.82,4247.22,No
Male,1,Yes,Yes,64,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),20.74,1327.36,No
Male,0,No,Yes,52,Yes,No,DSL,Month-to-month,Yes,Electronic check,88.89,4638.56,No
Male,1,Yes,No,6,Yes,No phone service,DSL,Two year,Yes,Bank transfer (automatic),97.97,587.82,Yes
Female,0,No,No,4,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.84,131.92,No
Male,0,No,No,23,No,No,DSL,One year,Yes,Bank transfer (automatic),78.69,1809.87,No
Male,0,No,No,27,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),78.01,2122.73,No
Female,0,No,Yes,61,Yes,Yes,DSL,Month-to-month,No,Credit card (automatic),56.63,3460.04,No
Male,0,Yes,No,16,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),94.48,1511.68,Yes
Female,0,No,Yes,19,Yes,No,DSL,One year,No,Bank transfer (automatic),61.67,1171.73,No
Female,0,Yes,No,2,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),87.03,191.92,Yes
Female,0,Yes,No,36,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),70.75,2598.18,No
Male,0,No,Yes,14,Yes,Yes,No,Month-to-month,No,Credit card (automatic),43.34,607.69,Yes
Male,0,Yes,No,50,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),79.86,4038.3,No
Male,0,Yes,Yes,47,No,Yes,No,Two year,Yes,Electronic check,93.16,4405.39,No
Male,0,Yes,No,7,Yes,Yes,DSL,Month-to-month,No,Bank transfer (automatic),117.34,849.92,Yes
Male,0,No,No,12,Yes,Yes,Fiber optic,Two year,No,Bank transfer (automatic),56.77,712.02,No
Male,0,Yes,No,47,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,24.58,1155.26,No
Male,1,Yes,No,2,Yes,Yes,DSL,One year,Yes,Mailed check,118.77,237.54,No
Female,0,No,Yes,64,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,81.63,5302.81,No
Male,0,No,No,72,Yes,No,DSL,Two year,No,Bank transfer (automatic),114.54,8285.3,No
Female,1,Yes,No,30,No,No,DSL,Month-to-month,No,Electronic check,28.59,857.7,No
Male,0,No,Yes,25,Yes,No,Fiber optic,One year,No,Electronic check,52.89,1353.11,Yes
Male,0,Yes,No,55,Yes,No,Fiber optic,Two year,No,Mailed check,31.66,1761.17,No
Male,0,Yes,No,33,Yes,No,DSL,Two year,Yes,Mailed check,103.22,3406.26,No
Female,0,Yes,Yes,8,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),107.79,862.32,No
Female,0,No,No,61,Yes,No,DSL,Two year,Yes,Electronic check,69.13,4283.25,No
Female,0,Yes,Yes,12,No,No,Fiber optic,One year,Yes,Electronic check,37.03,444.36,Yes
Female,0,No,No,68,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,30.97,2124.72,Yes
Male,0,No,Yes,40,Yes,No,DSL,Month-to-month,Yes,Electronic check,77.99,3182.58,No
Female,1,Yes,No,0,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,69.65,0.0,Yes
Male,0,No,No,46,Yes,No,Fiber optic,Month-to-month,No,Mailed check,88.87,4088.02,Yes
Male,0,No,No,3,Yes,Yes,No,Two year,No,Credit card (automatic),49.13,153.06,No
Female,0,No,No,62,Yes,Yes,Fiber optic,One year,Yes,Credit card (automatic),59.04,3660.48,No
Female,0,No,No,51,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),20.18,1029.18,No
Female,0,No,No,9,Yes,Yes,DSL,Two year,Yes,Mailed check,80.23,762.22,Yes
Female,0,Yes,Yes,27,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),61.16,1651.32,No
Female,0,No,No,5,Yes,No,Fiber optic,Two year,No,Credit card (automatic),111.82,559.1,Yes
Female,1,Yes,No,26,No,No,No,Two year,Yes,Electronic check,83.46,2182.64,Yes
Female,0,Yes,No,11,Yes,No,DSL,Two year,Yes,Credit card (automatic),58.67,658.66,No
Female,0,Yes,No,61,No,Yes,Fiber optic,Two year,Yes,Credit card (automatic),44.89,2835.83,No
Male,0,Yes,No,51,Yes,No phone service,Fiber optic,Month-to-month,No,Credit card (automatic),110.34,5627.34,No
Female,0,Yes,No,47,Yes,No,Fiber optic,Month-to-month,No,Electronic check,19.66,977.4,No
Female,0,Yes,No,66,No,Yes,No,Month-to-month,Yes,Credit card (automatic),51.35,3421.43,No
Male,0,No,Yes,45,Yes,No,Fiber optic,Month-to-month,No,Mailed check,114.24,5140.8,No
Female,0,No,No,14,Yes,No,No,One year,Yes,Mailed check,84.71,1203.35,Yes
Male,0,No,No,70,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),72.34,5063.8,No
Male,0,Yes,No,35,Yes,Yes,Fiber optic,Two year,No,Bank transfer (automatic),38.76,1356.6,No
Female,0,No,No,13,Yes,No,DSL,Two year,Yes,Bank transfer (automatic),103.0,1339.0,Yes
Male,0,No,Yes,2,Yes,No,No,Month-to-month,No,Electronic check,38.83,77.66,Yes
Male,0,No,No,66,Yes,No,Fiber optic,Month-to-month,No,Electronic check,43.32,2859.12,No
Male,0,Yes,No,18,Yes,No,Fiber optic,Month-to-month,No,Mailed check,37.57,676.26,Yes
Male,0,No,Yes,53,Yes,No,Fiber optic,Two year,Yes,Mailed check,34.13,1808.89,No
Female,0,Yes,No,68,Yes,No,Fiber optic,One year,Yes,Credit card (automatic),115.24,7836.32,No
Male,0,No,Yes,9,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.41,714.69,No
Female,0,Yes,No,32,Yes,No,DSL,Month-to-month,No,Mailed check,83.06,2657.92,No
Male,0,Yes,Yes,12,Yes,Yes,DSL,Month-to-month,No,Bank transfer (automatic),115.34,1384.08,Yes
Male,1,Yes,No,50,No,No,DSL,Two year,Yes,Electronic check,41.52,2159.58,No
Male,0,No,No,31,Yes,No,No,Month-to-month,No,Electronic check,18.6,608.26,No
Male,1,No,No,23,Yes,Yes,DSL,Month-to-month,Yes,Credit card (automatic),79.09,1819.07,Yes
Female,0,Yes,No,34,Yes,No,DSL,Two year,Yes,Credit card (automatic),69.8,2453.94,No
Female,0,No,No,69,Yes,Yes,DSL,Two year,Yes,Mailed check,66.72,4603.68,No
Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),24.31,948.09,No
Male,0,Yes,Yes,53,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,64.35,3410.55,No
Female,1,No,No,43,No,Yes,DSL,One year,Yes,Mailed check,47.33,2084.44,No
Male,0,No,Yes,61,Yes,Yes,No,One year,No,Bank transfer (automatic),46.01,2806.61,No
Male,0,No,No,67,Yes,Yes,No,Month-to-month,No,Mailed check,40.68,2725.56,No
